time, L
0.0916,1.5698
0.0918,1.5545
0.092,1.6004
0.0922,1.5698
0.0924,1.5698
0.0926,1.6004
0.0928,1.5851
0.093,1.5087
0.0932,1.5392
0.0934,1.524
0.0936,1.631
0.0938,1.5851
0.094,1.5698
0.0942,1.5851
0.0944,1.6004
0.0946,1.5545
0.0948,1.6004
0.095,1.5392
0.0952,1.524
0.0954,1.5698
0.0956,1.5698
0.0958,1.5392
0.096,1.524
0.0962,1.5545
0.0964,1.5392
0.0966,1.5851
0.0968,1.5545
0.097,1.5545
0.0972,1.4934
0.0974,1.5392
0.0976,1.5545
0.0978,1.5392
0.098,1.5545
0.0982,1.4781
0.0984,1.5545
0.0986,1.5698
0.0988,1.5851
0.099,1.5392
0.0992,1.5392
0.0994,1.5392
0.0996,1.5545
0.0998,1.524
0.1,1.5851
0.1002,1.6004
0.1004,1.524
0.1006,1.4934
0.1008,1.5392
0.101,1.5087
0.1012,1.631
0.1014,1.5698
0.1016,1.5392
0.1018,1.5545
0.102,1.524
0.1022,1.5698
0.1024,1.5851
0.1026,1.5851
0.1028,1.5698
0.103,1.5851
0.1032,1.5392
0.1034,1.5392
0.1036,1.5851
0.1038,1.5698
0.104,1.5087
0.1042,1.524
0.1044,1.524
0.1046,1.5087
0.1048,1.5392
0.105,1.5545
0.1052,1.5392
0.1054,1.5698
0.1056,1.6004
0.1058,1.5087
0.106,1.5392
0.1062,1.524
0.1064,1.524
0.1066,1.4934
0.1068,1.5545
0.107,1.5087
0.1072,1.5698
0.1074,1.524
0.1076,1.5698
0.1078,1.5392
0.108,1.6004
0.1082,1.5698
0.1084,1.5392
0.1086,1.524
0.1088,1.5851
0.109,1.5698
0.1092,1.6004
0.1094,1.5545
0.1096,1.5698
0.1098,1.5392
0.11,1.6004
0.1102,1.5698
0.1104,1.5698
0.1106,0.23428
0.1108,0.11179
0.111,0.49455
0.1112,1.1112
0.1114,1.3864
0.1116,1.4628
0.1118,1.4934
0.112,1.4781
0.1122,1.5087
0.1124,1.5087
0.1126,1.524
0.1128,1.4628
0.113,1.5392
0.1132,1.4781
0.1134,1.4934
0.1136,1.5392
0.1138,1.524
0.114,1.4934
0.1142,1.4934
0.1144,1.5087
0.1146,1.4934
0.1148,1.4781
0.115,1.5087
0.1152,1.524
0.1154,1.5545
0.1156,1.4934
0.1158,1.4781
0.116,1.4934
0.1162,1.4628
0.1164,1.5087
0.1166,1.5087
0.1168,1.4781
0.117,1.4934
0.1172,1.4781
0.1174,1.4322
0.1176,1.5392
0.1178,1.4475
0.118,1.4628
0.1182,1.5087
0.1184,1.5087
0.1186,1.4934
0.1188,1.4322
0.119,1.5698
0.1192,1.5087
0.1194,1.524
0.1196,1.5392
0.1198,1.4934
0.12,1.524
0.1202,1.4934
0.1204,1.5087
0.1206,1.5545
0.1208,1.4781
0.121,1.4781
0.1212,1.524
0.1214,1.5392
0.1216,1.5087
0.1218,1.4781
0.122,1.4934
0.1222,1.524
0.1224,1.4475
0.1226,1.5087
0.1228,1.4934
0.123,1.4934
0.1232,1.4781
0.1234,1.4781
0.1236,1.4628
0.1238,1.5087
0.124,1.4934
0.1242,1.4934
0.1244,1.4781
0.1246,1.4781
0.1248,1.5087
0.125,1.4781
0.1252,1.4781
0.1254,1.4781
0.1256,1.524
0.1258,1.5087
0.126,1.5392
0.1262,1.5087
0.1264,1.4781
0.1266,1.4628
0.1268,1.524
0.127,1.5087
0.1272,1.4628
0.1274,1.524
0.1276,1.4781
0.1278,1.524
0.128,1.4628
0.1282,1.5087
0.1284,1.4934
0.1286,1.5087
0.1288,1.5392
0.129,1.524
0.1292,1.4934
0.1294,1.524
0.1296,1.4934
0.1298,1.4781
0.13,1.4934
0.1302,1.524
0.1304,1.4781
0.1306,1.4934
0.1308,1.5087
0.131,1.4628
0.1312,0.17303
0.1314,0.11179
0.1316,0.58641
0.1318,1.1876
0.132,1.4016
0.1322,1.4934
0.1324,1.4934
0.1326,1.4628
0.1328,1.4934
0.133,1.524
0.1332,1.4781
0.1334,1.524
0.1336,1.5545
0.1338,1.524
0.134,1.5087
0.1342,1.4934
0.1344,1.4934
0.1346,1.524
0.1348,1.524
0.135,1.4934
0.1352,1.524
0.1354,1.5087
0.1356,1.524
0.1358,1.4934
0.136,1.4934
0.1362,1.4322
0.1364,1.5545
0.1366,1.524
0.1368,1.4934
0.137,1.4628
0.1372,1.4934
0.1374,1.4934
0.1376,1.5545
0.1378,1.4781
0.138,1.524
0.1382,1.4781
0.1384,1.5087
0.1386,1.4781
0.1388,1.4781
0.139,1.524
0.1392,1.4934
0.1394,1.3252
0.1396,0.07
0.1398,0.18834
0.14,0.81145
0.1402,1.3864
0.1404,1.4934
0.1406,1.524
0.1408,1.5851
0.141,1.5545
0.1412,1.5851
0.1414,1.5545
0.1416,1.5698
0.1418,1.6004
0.142,1.524
0.1422,1.5851
0.1424,1.5392
0.1426,1.4781
0.1428,1.631
0.143,1.5392
0.1432,1.5698
0.1434,1.6157
0.1436,1.5545
0.1438,1.5545
0.144,1.5698
0.1442,1.631
0.1444,1.6004
0.1446,1.5851
0.1448,1.5698
0.145,1.5698
0.1452,1.631
0.1454,1.5087
0.1456,1.5392
0.1458,1.5851
0.146,1.524
0.1462,1.5545
0.1464,1.5545
0.1466,1.5698
0.1468,1.524
0.147,1.5698
0.1472,1.5851
0.1474,1.5392
0.1476,1.5698
0.1478,1.5698
0.148,1.5392
0.1482,1.5545
0.1484,1.5392
0.1486,1.5545
0.1488,1.4934
0.149,1.5087
0.1492,1.524
0.1494,1.5545
0.1496,1.6004
0.1498,1.5698
0.15,1.5698
0.1502,1.5698
0.1504,1.6004
0.1506,1.524
0.1508,1.5545
0.151,1.5698
0.1512,1.5545
0.1514,1.5698
0.1516,1.524
0.1518,1.5392
0.152,1.5698
0.1522,1.5087
0.1524,1.5392
0.1526,1.5545
0.1528,1.5545
0.153,1.5392
0.1532,1.5392
0.1534,1.5545
0.1536,1.5392
0.1538,1.5545
0.154,1.5545
0.1542,1.5698
0.1544,1.6004
0.1546,1.5392
0.1548,1.5698
0.155,1.5392
0.1552,1.5698
0.1554,1.5545
0.1556,1.524
0.1558,1.5545
0.156,1.5545
0.1562,1.524
0.1564,1.5698
0.1566,1.5392
0.1568,1.5698
0.157,1.5545
0.1572,1.5392
0.1574,1.5392
0.1576,1.5545
0.1578,1.5851
0.158,1.5698
0.1582,1.5545
0.1584,1.5851
0.1586,1.5851
0.1588,1.6004
0.159,1.5392
0.1592,1.5545
0.1594,1.6004
0.1596,1.5087
0.1598,1.5698
0.16,1.0351
0.1602,0.082
0.1604,0.23428
0.1606,0.87109
0.1608,1.2946
0.161,1.4322
0.1612,1.4628
0.1614,1.4169
0.1616,1.524
0.1618,1.4322
0.162,1.5087
0.1622,1.5087
0.1624,1.4628
0.1626,1.4934
0.1628,1.4322
0.163,1.5698
0.1632,1.4934
0.1634,1.4934
0.1636,1.4934
0.1638,1.5087
0.164,1.4934
0.1642,1.5392
0.1644,1.5087
0.1646,1.524
0.1648,1.5392
0.165,1.4475
0.1652,1.4934
0.1654,1.4934
0.1656,1.4628
